model,MAE,RMSE,MAE_vs_seasonal_%
lightgbm,21.368291848487566,34.98081913897424,52.8
naive,34.14962448559671,53.98175143360491,24.5
seasonal_naive,45.248312757201646,70.72634113965663,0.0
